"__time__","__tag__:__hostname__","__tag__:__path__","__tag__:__receive_time__","__tag__:__user_defined_id__","__tag__:_container_ip_","__tag__:_container_name_","__tag__:_hipac_group_code_","__tag__:_image_name_","__tag__:_namespace_","__tag__:_node_ip_","__tag__:_node_name_","__tag__:_pod_name_","__tag__:_pod_uid_","__topic__","content","__tag__:__client_ip__"
"2021-12-06 05:05:21","iZbp14njnlz72h2ox7yt6dZ","/alidata/log/ytgw_prod/ytgw-message.log","1638738324","k8s-group-c20ef37589d8a4d7191e09421fb02ac8e","172.17.71.252","gw","k8sytj","registry.yangtuojia.com/prod/gw:18255","default","172.16.75.142","cn-hangzhou.172.16.75.142","gw-k8sytj-v34416-deploy-5c44b85586-wnkmm","d933a0b6-e133-4ab5-a3dd-d8e69c456cdb","","2021-12-06 05:05:21.839 [DubboServerHandler-172.17.71.252:20880-thread-288] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-252^1638432615225^2646415] - [637][DINGTALK06100110][20211206050521449][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1638738321837&sign=RkP0YGzZAmXOxVPIbJ6u7vZFR3QcjoSWchTplAA%2BL6M%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:799,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 18168108329, 18296233549, 18365072361, 17862135398, 15669902117, 18158182267, 18238104347, 13370090807, 17671331343, 15088631651, 13628662190, 18858725295, 13615819713, 13970176979, 15505609263, 18555181430, 15990158545, 17601296545, 13288801777, 18358783788, 13936359346, 18767723827, 13588301745, 18761262608, 15170607675, 18870946029, 13525344173, 15372506089, 13269669967, 13295687123, 15088206809, 15079853927, 15946801277, 18505526339, 18370226394, 18270084626, 18013895071, 17710730703, 18892189838, 15871991973, 18357948290, 15656969391, 13575797913, 15068867252, 15167111819, 13157153215, 13627038146, 17681533176, 13738012083, 15088397745, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n",
"2021-12-06 04:04:46","prod-gw003","/alidata/log/ytgw_prod/ytgw-message.log","1638734688",,,,,,,,,,,"","2021-12-06 04:04:46.669 [DubboServerHandler-172.16.22.211:28888-thread-283] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-agent-211^1638433135250^2494863] - [706][DINGTALK06100110][20211206040446153][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1638734686667&sign=gL3ewNJOjCtk8yH4kjLYoiCMFfuhPBuTaGxZHtp0yJ0%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:799,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 18168108329, 18296233549, 18365072361, 17862135398, 15669902117, 18158182267, 18238104347, 13370090807, 17671331343, 15088631651, 13628662190, 18858725295, 13615819713, 13970176979, 15505609263, 18555181430, 15990158545, 17601296545, 13288801777, 18358783788, 13936359346, 18767723827, 13588301745, 18761262608, 15170607675, 18870946029, 13525344173, 15372506089, 13269669967, 13295687123, 15088206809, 15079853927, 15946801277, 18505526339, 18370226394, 18270084626, 18013895071, 17710730703, 18892189838, 15871991973, 18357948290, 15656969391, 13575797913, 15068867252, 15167111819, 13157153215, 13627038146, 17681533176, 13738012083, 15088397745, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n","118.31.51.110"
"2021-12-06 03:00:36","prod-gw004","/alidata/log/ytgw_prod/ytgw-message.log","1638730839",,,,,,,,,,,"","2021-12-06 03:00:36.672 [DubboServerHandler-172.16.22.212:28888-thread-293] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-agent-212^1638431771611^2476829] - [700][DINGTALK06100110][20211206030036351][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1638730836670&sign=SyrYje1UTguvMT%2BS%2FwZM0tVTbTFyfuonDk0H%2F9eCD6E%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:786,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 18168108329, 18296233549, 18365072361, 17862135398, 15669902117, 18158182267, 18238104347, 13370090807, 17671331343, 13628662190, 18858725295, 13615819713, 13970176979, 15505609263, 18555181430, 15990158545, 17601296545, 13288801777, 18358783788, 13936359346, 18767723827, 13588301745, 18761262608, 15170607675, 18870946029, 13525344173, 15372506089, 13269669967, 13295687123, 15088206809, 15079853927, 15946801277, 18505526339, 18370226394, 18270084626, 18013895071, 17710730703, 18892189838, 15871991973, 18357948290, 15656969391, 13575797913, 15068867252, 15167111819, 13157153215, 13627038146, 17681533176, 13738012083, 15088397745, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n","118.31.51.110"
"2021-12-06 02:04:31","iZbp14o2vphbnyszirsb9pZ","/alidata/log/ytgw_prod/ytgw-message.log","1638727473","k8s-group-c20ef37589d8a4d7191e09421fb02ac8e","172.17.118.76","gw","k8sytj","registry.yangtuojia.com/prod/gw:18255","default","172.16.76.133","cn-hangzhou.172.16.76.133","gw-k8sytj-v34416-deploy-5c44b85586-qhwvk","ad0cfbcb-679a-44cb-b966-a2032d314249","","2021-12-06 02:04:31.750 [DubboServerHandler-172.17.118.76:20880-thread-291] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-76^1638433118844^2563596] - [781][DINGTALK06100110][20211206020431004][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1638727471748&sign=wg6ipXfobW%2FXieyx6msIcsSIXPcnROQdC8lm8BcGTek%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:786,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 18168108329, 18296233549, 18365072361, 17862135398, 15669902117, 18158182267, 18238104347, 13370090807, 17671331343, 13628662190, 18858725295, 13615819713, 13970176979, 15505609263, 18555181430, 15990158545, 17601296545, 13288801777, 18358783788, 13936359346, 18767723827, 13588301745, 18761262608, 15170607675, 18870946029, 13525344173, 15372506089, 13269669967, 13295687123, 15088206809, 15079853927, 15946801277, 18505526339, 18370226394, 18270084626, 18013895071, 17710730703, 18892189838, 15871991973, 18357948290, 15656969391, 13575797913, 15068867252, 15167111819, 13157153215, 13627038146, 17681533176, 13738012083, 15088397745, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n",
"2021-12-06 01:04:41","prod-gw001","/alidata/log/ytgw_prod/ytgw-message.log","1638723882",,,,,,,,,,,"","2021-12-06 01:04:41.664 [DubboServerHandler-172.16.22.100:28888-thread-292] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-agent-100^1638430977075^2433834] - [764][DINGTALK06100110][20211206010441858][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1638723881662&sign=U9X5B%2Fd4TeRY6RvPv134Ix3edSC%2BbJR%2Bi1TPSeTs%2BUA%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:786,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 18168108329, 18296233549, 18365072361, 17862135398, 15669902117, 18158182267, 18238104347, 13370090807, 17671331343, 13628662190, 18858725295, 13615819713, 13970176979, 15505609263, 18555181430, 15990158545, 17601296545, 13288801777, 18358783788, 13936359346, 18767723827, 13588301745, 18761262608, 15170607675, 18870946029, 13525344173, 15372506089, 13269669967, 13295687123, 15088206809, 15079853927, 15946801277, 18505526339, 18370226394, 18270084626, 18013895071, 17710730703, 18892189838, 15871991973, 18357948290, 15656969391, 13575797913, 15068867252, 15167111819, 13157153215, 13627038146, 17681533176, 13738012083, 15088397745, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n",
"2021-12-06 00:05:46","prod-gw001","/alidata/log/ytgw_prod/ytgw-message.log","1638720349",,,,,,,,,,,"","2021-12-06 00:05:46.700 [DubboServerHandler-172.16.22.100:28888-thread-291] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-agent-100^1638430977075^2410105] - [763][DINGTALK06100110][20211206000546700][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1638720346697&sign=IlydZByWQSn9z%2Fa%2BoX7qA%2FKi4CPH2DAtYxQN0CY3jLs%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:786,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 18168108329, 18296233549, 18365072361, 17862135398, 15669902117, 18158182267, 18238104347, 13370090807, 17671331343, 13628662190, 18858725295, 13615819713, 13970176979, 15505609263, 18555181430, 15990158545, 17601296545, 13288801777, 18358783788, 13936359346, 18767723827, 13588301745, 18761262608, 15170607675, 18870946029, 13525344173, 15372506089, 13269669967, 13295687123, 15088206809, 15079853927, 15946801277, 18505526339, 18370226394, 18270084626, 18013895071, 17710730703, 18892189838, 15871991973, 18357948290, 15656969391, 13575797913, 15068867252, 15167111819, 13157153215, 13627038146, 17681533176, 13738012083, 15088397745, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n",
"2021-12-05 23:01:21","prod-gw004","/alidata/log/ytgw_prod/ytgw-message.log","1638716484",,,,,,,,,,,"","2021-12-05 23:01:21.700 [DubboServerHandler-172.16.22.212:28888-thread-299] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-agent-212^1638431771611^2379865] - [706][DINGTALK06100110][20211205230121971][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1638716481698&sign=1Nwa0QCIg177wqdwzZOXxO4kPoD9K2LMMY6EpwB%2BZLA%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:786,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 18168108329, 18296233549, 18365072361, 17862135398, 15669902117, 18158182267, 18238104347, 13370090807, 17671331343, 13628662190, 18858725295, 13615819713, 13970176979, 15505609263, 18555181430, 15990158545, 17601296545, 13288801777, 18358783788, 13936359346, 18767723827, 13588301745, 18761262608, 15170607675, 18870946029, 13525344173, 15372506089, 13269669967, 13295687123, 15088206809, 15079853927, 15946801277, 18505526339, 18370226394, 18270084626, 18013895071, 17710730703, 18892189838, 15871991973, 18357948290, 15656969391, 13575797913, 15068867252, 15167111819, 13157153215, 13627038146, 17681533176, 13738012083, 15088397745, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n","118.31.51.110"
"2021-12-05 22:02:06","iZbp14njnlz72h2ox7yt6dZ","/alidata/log/ytgw_prod/ytgw-message.log","1638712928","k8s-group-c20ef37589d8a4d7191e09421fb02ac8e","172.17.71.252","gw","k8sytj","registry.yangtuojia.com/prod/gw:18255","default","172.16.75.142","cn-hangzhou.172.16.75.142","gw-k8sytj-v34416-deploy-5c44b85586-wnkmm","d933a0b6-e133-4ab5-a3dd-d8e69c456cdb","","2021-12-05 22:02:06.707 [DubboServerHandler-172.17.71.252:20880-thread-295] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-252^1638432615225^2454553] - [644][DINGTALK06100110][20211205220206773][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1638712926705&sign=nmK0UqCfYpwoljC5gTEKWTEMNxhGvH6%2Bgd5bGm5gJwI%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:786,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 18168108329, 18296233549, 18365072361, 17862135398, 15669902117, 18158182267, 18238104347, 13370090807, 17671331343, 13628662190, 18858725295, 13615819713, 13970176979, 15505609263, 18555181430, 15990158545, 17601296545, 13288801777, 18358783788, 13936359346, 18767723827, 13588301745, 18761262608, 15170607675, 18870946029, 13525344173, 15372506089, 13269669967, 13295687123, 15088206809, 15079853927, 15946801277, 18505526339, 18370226394, 18270084626, 18013895071, 17710730703, 18892189838, 15871991973, 18357948290, 15656969391, 13575797913, 15068867252, 15167111819, 13157153215, 13627038146, 17681533176, 13738012083, 15088397745, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n",
"2021-12-05 21:03:06","iZbp1dmzxa8lqciyhdeqamZ","/alidata/log/ytgw_prod/ytgw-message.log","1638709387","k8s-group-c20ef37589d8a4d7191e09421fb02ac8e","172.17.118.37","gw","k8sytj","registry.yangtuojia.com/prod/gw:18255","default","172.16.76.129","cn-hangzhou.172.16.76.129","gw-k8sytj-v34416-deploy-5c44b85586-5xrm4","1b17981f-9cc8-4e02-a911-d86bf8d1b1d7","","2021-12-05 21:03:06.742 [DubboServerHandler-172.17.118.37:20880-thread-291] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-37^1638431759228^2428436] - [640][DINGTALK06100110][20211205210306125][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1638709386740&sign=AWVG5kmhuLTzLzMnr4N%2BJDbWvgNgrVDh%2FAIh87SnT%2BQ%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:773,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 18168108329, 18296233549, 18365072361, 17862135398, 15669902117, 18158182267, 18238104347, 13370090807, 17671331343, 13628662190, 18858725295, 13615819713, 13970176979, 15505609263, 18555181430, 15990158545, 17601296545, 13288801777, 18358783788, 13936359346, 18767723827, 13588301745, 18761262608, 15170607675, 18870946029, 13525344173, 15372506089, 13269669967, 13295687123, 15088206809, 15079853927, 15946801277, 18505526339, 18370226394, 18270084626, 18013895071, 17710730703, 18892189838, 15871991973, 15656969391, 13575797913, 15068867252, 15167111819, 13157153215, 13627038146, 17681533176, 13738012083, 15088397745, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n",
"2021-12-05 20:02:16","iZbp1dmzxa8lqciyhdeqamZ","/alidata/log/ytgw_prod/ytgw-message.log","1638705738","k8s-group-c20ef37589d8a4d7191e09421fb02ac8e","172.17.118.37","gw","k8sytj","registry.yangtuojia.com/prod/gw:18255","default","172.16.76.129","cn-hangzhou.172.16.76.129","gw-k8sytj-v34416-deploy-5c44b85586-5xrm4","1b17981f-9cc8-4e02-a911-d86bf8d1b1d7","","2021-12-05 20:02:16.637 [DubboServerHandler-172.17.118.37:20880-thread-291] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-37^1638431759228^2397325] - [640][DINGTALK06100110][20211205200216770][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1638705736635&sign=Rt%2FMb1w45x%2FU0CEjefFMrvxJh%2FNQqDc2xLtfr%2FQU5zM%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:669,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 18296233549, 18365072361, 17862135398, 15669902117, 18158182267, 18238104347, 17671331343, 13628662190, 18858725295, 13615819713, 13970176979, 15505609263, 18555181430, 15990158545, 17601296545, 13288801777, 18358783788, 13936359346, 18767723827, 18761262608, 15170607675, 18870946029, 13525344173, 15372506089, 13269669967, 13295687123, 15088206809, 15079853927, 15946801277, 18505526339, 18370226394, 18270084626, 18013895071, 17710730703, 15656969391, 13575797913, 15068867252, 17681533176, 13738012083, 15088397745, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n",
