"__time__","__tag__:__hostname__","__tag__:__path__","__tag__:__receive_time__","__tag__:__user_defined_id__","__tag__:_container_ip_","__tag__:_container_name_","__tag__:_hipac_group_code_","__tag__:_image_name_","__tag__:_namespace_","__tag__:_node_ip_","__tag__:_node_name_","__tag__:_pod_name_","__tag__:_pod_uid_","__topic__","content","__tag__:__client_ip__"
"2022-01-03 19:02:16","iZbp1ggcp7l0wy5jy74d30Z","/alidata/log/ytgw_prod/ytgw-message.log","1641207738","k8s-group-c20ef37589d8a4d7191e09421fb02ac8e","172.17.72.34","gw","k8sytj","registry.yangtuojia.com/prod/gw:19022","default","172.16.75.101","cn-hangzhou.172.16.75.101","gw-k8sytj-deploy-54d647c748-h2qcr","e2f91aeb-ca4d-4b04-b2cb-a48e316f1ef6","","2022-01-03 19:02:16.712 [DubboServerHandler-172.17.72.34:20880-thread-284] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-34^1640775425070^3824959] - [751][DINGTALK06100110][20220103190216447][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1641207736709&sign=g8igeCx3x9uPMV4%2B4KEVL8eelJCztSIJQA%2FK0fDrXfc%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:890,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 17862176826, 18296233549, 17741492422, 15156541640, 18679440207, 13045191711, 19560498019, 18770905569, 18767734495, 15180551290, 13628662190, 18079085596, 13615819713, 17377690290, 17601296545, 18506852505, 13288801777, 18606586587, 13936359346, 13054326205, 18767723827, 18098719178, 13588301745, 18654158363, 15870872161, 13197941071, 15372506089, 18405820855, 17739571087, 13982629787, 13825675434, 15168212907, 13295687123, 15088206809, 15079853927, 18370226394, 18270084626, 17748606430, 17710730703, 17857116075, 13362199821, 17667371625, 18892189838, 13849628117, 13087092428, 15656969391, 13777989615, 15705891990, 18656288053, 15374385338, 13627038146, 15268612324, 15225103830, 17856942899, 15088397745, 13516725342, 15807247524, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n",
"2022-01-03 18:05:51","prod-gw002","/alidata/log/ytgw_prod/ytgw-message.log","1641204352",,,,,,,,,,,"","2022-01-03 18:05:51.656 [DubboServerHandler-172.16.22.101:28888-thread-282] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-agent-101-NOT-TRACE^1640768059657^3289070] - [1061][DINGTALK06100110][20220103180551886][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1641204351653&sign=ET3h0Q4ln81FeOXr%2BbZZ8nXWjMFgLl7TVAv%2BOQfYZB0%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:890,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 17862176826, 18296233549, 17741492422, 15156541640, 18679440207, 13045191711, 19560498019, 18770905569, 18767734495, 15180551290, 13628662190, 18079085596, 13615819713, 17377690290, 17601296545, 18506852505, 13288801777, 18606586587, 13936359346, 13054326205, 18767723827, 18098719178, 13588301745, 18654158363, 15870872161, 13197941071, 15372506089, 18405820855, 17739571087, 13982629787, 13825675434, 15168212907, 13295687123, 15088206809, 15079853927, 18370226394, 18270084626, 17748606430, 17710730703, 17857116075, 13362199821, 17667371625, 18892189838, 13849628117, 13087092428, 15656969391, 13777989615, 15705891990, 18656288053, 15374385338, 13627038146, 15268612324, 15225103830, 17856942899, 15088397745, 13516725342, 15807247524, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n",
"2022-01-03 17:00:26","iZbp1b3gnnbg6vzo1lgoctZ","/alidata/log/ytgw_prod/ytgw-message.log","1641200427","k8s-group-c20ef37589d8a4d7191e09421fb02ac8e","172.17.118.39","gw","k8sytj","registry.yangtuojia.com/prod/gw:19022","default","172.16.76.122","cn-hangzhou.172.16.76.122","gw-k8sytj-deploy-54d647c748-4tsv6","ea1526e0-803f-49d6-b7a8-e28877391917","","2022-01-03 17:00:26.714 [DubboServerHandler-172.17.118.39:20880-thread-293] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-39^1640775760732^3757163] - [777][DINGTALK06100110][20220103170026271][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1641200426712&sign=H%2FjPn09u6BVamRXs2SnswDNycj9ap9Diixgqe4YOQl4%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:890,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 17862176826, 18296233549, 17741492422, 15156541640, 18679440207, 13045191711, 19560498019, 18770905569, 18767734495, 15180551290, 13628662190, 18079085596, 13615819713, 17377690290, 17601296545, 18506852505, 13288801777, 18606586587, 13936359346, 13054326205, 18767723827, 18098719178, 13588301745, 18654158363, 15870872161, 13197941071, 15372506089, 18405820855, 17739571087, 13982629787, 13825675434, 15168212907, 13295687123, 15088206809, 15079853927, 18370226394, 18270084626, 17748606430, 17710730703, 17857116075, 13362199821, 17667371625, 18892189838, 13849628117, 13087092428, 15656969391, 13777989615, 15705891990, 18656288053, 15374385338, 13627038146, 15268612324, 15225103830, 17856942899, 15088397745, 13516725342, 15807247524, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n",
"2022-01-03 16:00:06","iZbp1b3gnnbg6vzo1lgocrZ","/alidata/log/ytgw_prod/ytgw-message.log","1641196809","k8s-group-c20ef37589d8a4d7191e09421fb02ac8e","172.17.118.216","gw","k8sytj","registry.yangtuojia.com/prod/gw:19022","default","172.16.76.125","cn-hangzhou.172.16.76.125","gw-k8sytj-deploy-54d647c748-nzqpp","0f40fc70-e412-46d2-8fd3-523e233901d1","","2022-01-03 16:00:06.891 [DubboServerHandler-172.17.118.216:20880-thread-290] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-216-NOT-TRACE^1640775117051^3733654] - [779][DINGTALK06100110][20220103160006708][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1641196806889&sign=UYets6IqiPpgIYxQ0F7ugOBUFcLKdDhUEG4dYWwdtnQ%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:890,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 17862176826, 18296233549, 17741492422, 15156541640, 18679440207, 13045191711, 19560498019, 18770905569, 18767734495, 15180551290, 13628662190, 18079085596, 13615819713, 17377690290, 17601296545, 18506852505, 13288801777, 18606586587, 13936359346, 13054326205, 18767723827, 18098719178, 13588301745, 18654158363, 15870872161, 13197941071, 15372506089, 18405820855, 17739571087, 13982629787, 13825675434, 15168212907, 13295687123, 15088206809, 15079853927, 18370226394, 18270084626, 17748606430, 17710730703, 17857116075, 13362199821, 17667371625, 18892189838, 13849628117, 13087092428, 15656969391, 13777989615, 15705891990, 18656288053, 15374385338, 13627038146, 15268612324, 15225103830, 17856942899, 15088397745, 13516725342, 15807247524, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n",
"2022-01-03 15:05:31","iZbp1ggcp7l0wy5jy74d30Z","/alidata/log/ytgw_prod/ytgw-message.log","1641193533","k8s-group-c20ef37589d8a4d7191e09421fb02ac8e","172.17.72.34","gw","k8sytj","registry.yangtuojia.com/prod/gw:19022","default","172.16.75.101","cn-hangzhou.172.16.75.101","gw-k8sytj-deploy-54d647c748-h2qcr","e2f91aeb-ca4d-4b04-b2cb-a48e316f1ef6","","2022-01-03 15:05:31.781 [DubboServerHandler-172.17.72.34:20880-thread-300] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-34^1640775425070^3700435] - [767][DINGTALK06100110][20220103150531678][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1641193531779&sign=YE3%2ByO2mOsgR4nYMnpSjEywpFJcJLBC%2FXLBZN259g3w%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:890,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 17862176826, 18296233549, 17741492422, 15156541640, 18679440207, 13045191711, 19560498019, 18770905569, 18767734495, 15180551290, 13628662190, 18079085596, 13615819713, 17377690290, 17601296545, 18506852505, 13288801777, 18606586587, 13936359346, 13054326205, 18767723827, 18098719178, 13588301745, 18654158363, 15870872161, 13197941071, 15372506089, 18405820855, 17739571087, 13982629787, 13825675434, 15168212907, 13295687123, 15088206809, 15079853927, 18370226394, 18270084626, 17748606430, 17710730703, 17857116075, 13362199821, 17667371625, 18892189838, 13849628117, 13087092428, 15656969391, 13777989615, 15705891990, 18656288053, 15374385338, 13627038146, 15268612324, 15225103830, 17856942899, 15088397745, 13516725342, 15807247524, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n",
"2022-01-03 14:02:26","prod-gw003","/alidata/log/ytgw_prod/ytgw-message.log","1641189747",,,,,,,,,,,"","2022-01-03 14:02:26.652 [DubboServerHandler-172.16.22.211:28888-thread-297] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-agent-211-NOT-TRACE^1640768726362^3163054] - [1161][DINGTALK06100110][20220103140226936][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1641189746650&sign=CGa11IJfkhEqx614WbVZUgRXAPGc0u0wX8bCP7hWhfM%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:890,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 17862176826, 18296233549, 17741492422, 15156541640, 18679440207, 13045191711, 19560498019, 18770905569, 18767734495, 15180551290, 13628662190, 18079085596, 13615819713, 17377690290, 17601296545, 18506852505, 13288801777, 18606586587, 13936359346, 13054326205, 18767723827, 18098719178, 13588301745, 18654158363, 15870872161, 13197941071, 15372506089, 18405820855, 17739571087, 13982629787, 13825675434, 15168212907, 13295687123, 15088206809, 15079853927, 18370226394, 18270084626, 17748606430, 17710730703, 17857116075, 13362199821, 17667371625, 18892189838, 13849628117, 13087092428, 15656969391, 13777989615, 15705891990, 18656288053, 15374385338, 13627038146, 15268612324, 15225103830, 17856942899, 15088397745, 13516725342, 15807247524, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n","118.31.51.110"
"2022-01-03 13:03:16","prod-gw003","/alidata/log/ytgw_prod/ytgw-message.log","1641186198",,,,,,,,,,,"","2022-01-03 13:03:16.663 [DubboServerHandler-172.16.22.211:28888-thread-285] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-agent-211^1640768726362^3135431] - [1148][DINGTALK06100110][20220103130316331][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1641186196661&sign=%2FnBg744uaHq7pE6fluhwrlL0lzQfz3%2BBqvNzsoG0o8c%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:890,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 17862176826, 18296233549, 17741492422, 15156541640, 18679440207, 13045191711, 19560498019, 18770905569, 18767734495, 15180551290, 13628662190, 18079085596, 13615819713, 17377690290, 17601296545, 18506852505, 13288801777, 18606586587, 13936359346, 13054326205, 18767723827, 18098719178, 13588301745, 18654158363, 15870872161, 13197941071, 15372506089, 18405820855, 17739571087, 13982629787, 13825675434, 15168212907, 13295687123, 15088206809, 15079853927, 18370226394, 18270084626, 17748606430, 17710730703, 17857116075, 13362199821, 17667371625, 18892189838, 13849628117, 13087092428, 15656969391, 13777989615, 15705891990, 18656288053, 15374385338, 13627038146, 15268612324, 15225103830, 17856942899, 15088397745, 13516725342, 15807247524, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n","118.31.51.110"
"2022-01-03 12:03:41","prod-gw001","/alidata/log/ytgw_prod/ytgw-message.log","1641182622",,,,,,,,,,,"","2022-01-03 12:03:41.665 [DubboServerHandler-172.16.22.100:28888-thread-293] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-agent-100-NOT-TRACE^1640761283534^3174048] - [1146][DINGTALK06100110][20220103120341614][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1641182621663&sign=VVKulCfrkw5Kv4zN1D0HH9IONpG2D3tREftLUtij6Rw%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:890,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 17862176826, 18296233549, 17741492422, 15156541640, 18679440207, 13045191711, 19560498019, 18770905569, 18767734495, 15180551290, 13628662190, 18079085596, 13615819713, 17377690290, 17601296545, 18506852505, 13288801777, 18606586587, 13936359346, 13054326205, 18767723827, 18098719178, 13588301745, 18654158363, 15870872161, 13197941071, 15372506089, 18405820855, 17739571087, 13982629787, 13825675434, 15168212907, 13295687123, 15088206809, 15079853927, 18370226394, 18270084626, 17748606430, 17710730703, 17857116075, 13362199821, 17667371625, 18892189838, 13849628117, 13087092428, 15656969391, 13777989615, 15705891990, 18656288053, 15374385338, 13627038146, 15268612324, 15225103830, 17856942899, 15088397745, 13516725342, 15807247524, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n",
"2022-01-03 11:01:01","iZbp1b3gnnbg6vzo1lgoctZ","/alidata/log/ytgw_prod/ytgw-message.log","1641178862","k8s-group-c20ef37589d8a4d7191e09421fb02ac8e","172.17.118.39","gw","k8sytj","registry.yangtuojia.com/prod/gw:19022","default","172.16.76.122","cn-hangzhou.172.16.76.122","gw-k8sytj-deploy-54d647c748-4tsv6","ea1526e0-803f-49d6-b7a8-e28877391917","","2022-01-03 11:01:01.777 [DubboServerHandler-172.17.118.39:20880-thread-287] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-39^1640775760732^3567331] - [765][DINGTALK06100110][20220103110101837][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1641178861775&sign=2fJg8jzUOMXYPYArVwAblEUhWL68TGKxhWGQKYF%2Fh7Y%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:890,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 17862176826, 18296233549, 17741492422, 15156541640, 18679440207, 13045191711, 19560498019, 18770905569, 18767734495, 15180551290, 13628662190, 18079085596, 13615819713, 17377690290, 17601296545, 18506852505, 13288801777, 18606586587, 13936359346, 13054326205, 18767723827, 18098719178, 13588301745, 18654158363, 15870872161, 13197941071, 15372506089, 18405820855, 17739571087, 13982629787, 13825675434, 15168212907, 13295687123, 15088206809, 15079853927, 18370226394, 18270084626, 17748606430, 17710730703, 17857116075, 13362199821, 17667371625, 18892189838, 13849628117, 13087092428, 15656969391, 13777989615, 15705891990, 18656288053, 15374385338, 13627038146, 15268612324, 15225103830, 17856942899, 15088397745, 13516725342, 15807247524, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n",
"2022-01-03 10:00:21","prod-gw003","/alidata/log/ytgw_prod/ytgw-message.log","1641175224",,,,,,,,,,,"","2022-01-03 10:00:21.801 [DubboServerHandler-172.16.22.211:28888-thread-290] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-agent-211-NOT-TRACE^1640768726362^3048882] - [1153][DINGTALK06100110][20220103100021396][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1641175221799&sign=LC84wqCkmrbFS%2BcL8XW%2FbyOy4%2B8b3X%2Fm2dNN5cbJovE%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:890,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 17862176826, 18296233549, 17741492422, 15156541640, 18679440207, 13045191711, 19560498019, 18770905569, 18767734495, 15180551290, 13628662190, 18079085596, 13615819713, 17377690290, 17601296545, 18506852505, 13288801777, 18606586587, 13936359346, 13054326205, 18767723827, 18098719178, 13588301745, 18654158363, 15870872161, 13197941071, 15372506089, 18405820855, 17739571087, 13982629787, 13825675434, 15168212907, 13295687123, 15088206809, 15079853927, 18370226394, 18270084626, 17748606430, 17710730703, 17857116075, 13362199821, 17667371625, 18892189838, 13849628117, 13087092428, 15656969391, 13777989615, 15705891990, 18656288053, 15374385338, 13627038146, 15268612324, 15225103830, 17856942899, 15088397745, 13516725342, 15807247524, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n","118.31.51.110"
