"__time__","__tag__:__hostname__","__tag__:__path__","__tag__:__receive_time__","__topic__","content","__tag__:__user_defined_id__","__tag__:_container_ip_","__tag__:_container_name_","__tag__:_hipac_group_code_","__tag__:_image_name_","__tag__:_namespace_","__tag__:_node_ip_","__tag__:_node_name_","__tag__:_pod_name_","__tag__:_pod_uid_","__tag__:__client_ip__"
"2022-01-21 10:01:31","prod-gw002","/alidata/log/ytgw_prod/ytgw-message.log","1642730493","","2022-01-21 10:01:31.364 [DubboServerHandler-172.16.22.101:28888-thread-282] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-agent-101^1640768059657^15128143] - [1061][DINGTALK06100110][20220121100131992][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1642730491362&sign=Qhi0dFk82UaDTb0JDrzN4fIsbzGWI8mArVI4MUTHrio%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:305,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [18158182267, 13755797099, 18555181430, 13936359346, 18654158363, 15170607675, 15088206809, 15079853927, 17710730703, 18580361598, 18892189838, 13849628117, 13575797913, 17681533176],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n",,,,,,,,,,,
"2022-01-21 09:03:31","iZbp1b3gnnbg6vzo1lgoctZ","/alidata/log/ytgw_prod/ytgw-message.log","1642727013","","2022-01-21 09:03:31.589 [DubboServerHandler-172.17.118.39:20880-thread-278] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-39^1640775760732^18589629] - [763][DINGTALK06100110][20220121090331712][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1642727011588&sign=vAKBx6qlLd2emmbbJZ%2FHvPVOrrNWksu%2F4YzNkG%2FK59U%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:422,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 18158182267, 13806504148, 13755797099, 13615819713, 18555181430, 18506852505, 13936359346, 18654158363, 15988804013, 15170607675, 13295687123, 15088206809, 15079853927, 17710730703, 18580361598, 18892189838, 13849628117, 13575797913, 15705891990, 17681533176, 15557693783, 18667145250],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n","k8s-group-c20ef37589d8a4d7191e09421fb02ac8e","172.17.118.39","gw","k8sytj","registry.yangtuojia.com/prod/gw:19022","default","172.16.76.122","cn-hangzhou.172.16.76.122","gw-k8sytj-deploy-54d647c748-4tsv6","ea1526e0-803f-49d6-b7a8-e28877391917",
"2022-01-20 23:04:36","prod-gw004","/alidata/log/ytgw_prod/ytgw-message.log","1642691079","","2022-01-20 23:04:36.392 [DubboServerHandler-172.16.22.212:28888-thread-292] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-agent-212-NOT-TRACE^1640767583807^14859560] - [1093][DINGTALK06100110][20220120230436790][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1642691076390&sign=Yetitr75gniy3pfOQZKgeIZuG70n7xmY3Ndht4AlgRk%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:409,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 18158182267, 13806504148, 13755797099, 13615819713, 18555181430, 18506852505, 13936359346, 18654158363, 15988804013, 15170607675, 13295687123, 15088206809, 17710730703, 18580361598, 18892189838, 13849628117, 13575797913, 15705891990, 17681533176, 15557693783, 18667145250],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n",,,,,,,,,,,
"2022-01-20 22:03:46","prod-gw003","/alidata/log/ytgw_prod/ytgw-message.log","1642687428","","2022-01-20 22:03:46.392 [DubboServerHandler-172.16.22.211:28888-thread-295] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-agent-211^1640768726362^14812329] - [1166][DINGTALK06100110][20220120220346200][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1642687426390&sign=FAs3B9bM34zCyx6qA1JNPNrF2JTDbNK0WavwgbOIFx8%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:409,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [15968863149, 18158182267, 13806504148, 13755797099, 13615819713, 18555181430, 18506852505, 13936359346, 18654158363, 15988804013, 15170607675, 13295687123, 15088206809, 17710730703, 18580361598, 18892189838, 13849628117, 13575797913, 15705891990, 17681533176, 15557693783, 18667145250],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n",,,,,,,,,,,"118.31.51.110"
"2022-01-20 21:00:36","prod-gw003","/alidata/log/ytgw_prod/ytgw-message.log","1642683639","","2022-01-20 21:00:36.359 [DubboServerHandler-172.16.22.211:28888-thread-286] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-agent-211^1640768726362^14783047] - [1158][DINGTALK06100110][20220120210036373][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1642683636357&sign=cZKmYgLTZMKT%2F9tyQW8B41gzsMWOnu6FzgKEDegJ8ZY%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:279,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [18158182267, 13806504148, 13755797099, 18555181430, 18654158363, 15170607675, 15088206809, 18580361598, 18892189838, 13575797913, 17681533176, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n",,,,,,,,,,,"118.31.51.110"
"2022-01-20 20:03:01","iZbp1b3gnnbg6vzo1lgocrZ","/alidata/log/ytgw_prod/ytgw-message.log","1642680183","","2022-01-20 20:03:01.454 [DubboServerHandler-172.17.118.216:20880-thread-287] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-216-NOT-TRACE^1640775117051^18264380] - [776][DINGTALK06100110][20220120200301712][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1642680181452&sign=dpzAsHHTs6evae%2BDfjssfROzDR73zra6drarGqdDC%2Fs%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:279,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [18158182267, 13806504148, 13755797099, 18555181430, 18654158363, 15170607675, 15088206809, 18580361598, 18892189838, 13575797913, 17681533176, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n","k8s-group-c20ef37589d8a4d7191e09421fb02ac8e","172.17.118.216","gw","k8sytj","registry.yangtuojia.com/prod/gw:19022","default","172.16.76.125","cn-hangzhou.172.16.76.125","gw-k8sytj-deploy-54d647c748-nzqpp","0f40fc70-e412-46d2-8fd3-523e233901d1",
"2022-01-20 19:04:21","prod-gw001","/alidata/log/ytgw_prod/ytgw-message.log","1642676664","","2022-01-20 19:04:21.317 [DubboServerHandler-172.16.22.100:28888-thread-293] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-agent-100-NOT-TRACE^1640761283534^14796686] - [1146][DINGTALK06100110][20220120190421298][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1642676661315&sign=RYOJIr5aeiY2xik9EgY89vDYTDQ9xgszgIAhdzRUdJM%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:253,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [18158182267, 13755797099, 18555181430, 18654158363, 15170607675, 15088206809, 18580361598, 13575797913, 17681533176, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n",,,,,,,,,,,
"2022-01-20 18:03:16","prod-gw004","/alidata/log/ytgw_prod/ytgw-message.log","1642672998","","2022-01-20 18:03:16.291 [DubboServerHandler-172.16.22.212:28888-thread-294] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-agent-212^1640767583807^14722241] - [1096][DINGTALK06100110][20220120180316945][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1642672996289&sign=F5Kbrc%2FkyYpg3nV9xkNQNCBU6z4fDSQooNeR5l3KgPg%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:253,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [18158182267, 13755797099, 18555181430, 18654158363, 15170607675, 15088206809, 18580361598, 13575797913, 17681533176, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n",,,,,,,,,,,
"2022-01-20 17:01:16","prod-gw001","/alidata/log/ytgw_prod/ytgw-message.log","1642669278","","2022-01-20 17:01:16.319 [DubboServerHandler-172.16.22.100:28888-thread-292] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-agent-100-NOT-TRACE^1640761283534^14741024] - [1145][DINGTALK06100110][20220120170116861][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1642669276316&sign=GwGyyXA3hu2jbggAHCHTcSa6fVJGk89iRqnkkvij8%2FQ%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:253,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [18158182267, 13755797099, 18555181430, 18654158363, 15170607675, 15088206809, 18580361598, 13575797913, 17681533176, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n",,,,,,,,,,,
"2022-01-20 16:00:36","iZbp1ggcp7l0wy5jy74d30Z","/alidata/log/ytgw_prod/ytgw-message.log","1642665639","","2022-01-20 16:00:36.406 [DubboServerHandler-172.17.72.34:20880-thread-298] INFO  ytgw_message [LoggerUtil.java:63][TxId : gw-34-NOT-TRACE^1640775425070^18119236] - [765][DINGTALK06100110][20220120160036192][HTTP]客户端发送报文:URL:https://oapi.dingtalk.com/robot/send?access_token=73f5aa6900131f649cc66fe947506140b6789bbfdbc8eda4628d39debc5d0330&timestamp=1642665636404&sign=ypCJzeRW63j65Nmq0U9oolPcnosaIjWSrDZoHPtLS%2Bs%3D\nHttpHeader:Content-Type=application/json;charset=UTF-8\nContentLength:279,Content:{\r\n\t""msgtype"": ""text"",\r\n\t""text"":{""content"":""请在涂色系统中企微账号离线的同学及时上线！""},\r\n\t""at"": {\r\n\t\t""atMobiles"": [18158182267, 13755797099, 18555181430, 18654158363, 15170607675, 15088206809, 15079853927, 18013895071, 18580361598, 13575797913, 17681533176, 15557693783],\r\n\t\t""isAtAll"": false\r\n\t}\r\n}\n","k8s-group-c20ef37589d8a4d7191e09421fb02ac8e","172.17.72.34","gw","k8sytj","registry.yangtuojia.com/prod/gw:19022","default","172.16.75.101","cn-hangzhou.172.16.75.101","gw-k8sytj-deploy-54d647c748-h2qcr","e2f91aeb-ca4d-4b04-b2cb-a48e316f1ef6",
